wrong,updated,animal,shank
15,15,3xTg1-1,shank6
16,16,3xTg1-1,shank6
17,17,3xTg1-1,shank6
18,18,3xTg1-1,shank6
19,19,3xTg1-1,shank6
20,20,3xTg1-1,shank6
21,21,3xTg1-1,shank6
22,22,3xTg1-1,shank6
23,23,3xTg1-1,shank6
24,24,3xTg1-1,shank6
25,25,3xTg1-1,shank6
26,26,3xTg1-1,shank6
27,27,3xTg1-1,shank6
28,28,3xTg1-1,shank6
29,29,3xTg1-1,shank6
30,30,3xTg1-1,shank6
31,31,3xTg1-1,shank6
32,32,3xTg1-1,shank6
33,33,3xTg1-1,shank6
34,34,3xTg1-1,shank6
35,35,3xTg1-1,shank6
36,36,3xTg1-1,shank6
37,37,3xTg1-1,shank6
38,38,3xTg1-1,shank6
39,39,3xTg1-1,shank6
40,40,3xTg1-1,shank6
41,41,3xTg1-1,shank6
42,42,3xTg1-1,shank6
43,43,3xTg1-1,shank6
44,44,3xTg1-1,shank6
45,45,3xTg1-1,shank6
46,46,3xTg1-1,shank6
47,47,3xTg1-1,shank6
48,48,3xTg1-1,shank6
49,49,3xTg1-1,shank6
50,50,3xTg1-1,shank6
51,51,3xTg1-1,shank6
52,52,3xTg1-1,shank6
53,53,3xTg1-1,shank6
54,54,3xTg1-1,shank6
55,55,3xTg1-1,shank6
56,56,3xTg1-1,shank6
57,57,3xTg1-1,shank6
58,58,3xTg1-1,shank6
59,59,3xTg1-1,shank6
60,60,3xTg1-1,shank6
61,61,3xTg1-1,shank6
62,62,3xTg1-1,shank6
63,63,3xTg1-1,shank6
64,64,3xTg1-1,shank6
1,1,3xTg1-1,shank7
2,2,3xTg1-1,shank7
3,3,3xTg1-1,shank7
4,4,3xTg1-1,shank7
5,5,3xTg1-1,shank7
6,6,3xTg1-1,shank7
7,7,3xTg1-1,shank7
8,8,3xTg1-1,shank7
9,9,3xTg1-1,shank7
10,10,3xTg1-1,shank7
11,11,3xTg1-1,shank7
12,12,3xTg1-1,shank7
13,13,3xTg1-1,shank7
14,14,3xTg1-1,shank7
15,15,3xTg1-1,shank7
16,16,3xTg1-1,shank7
17,17,3xTg1-1,shank7
18,18,3xTg1-1,shank7
19,19,3xTg1-1,shank7
20,20,3xTg1-1,shank7
21,21,3xTg1-1,shank7
22,22,3xTg1-1,shank7
23,23,3xTg1-1,shank7
24,24,3xTg1-1,shank7
25,25,3xTg1-1,shank7
26,26,3xTg1-1,shank7
27,27,3xTg1-1,shank7
28,28,3xTg1-1,shank7
29,29,3xTg1-1,shank7
30,30,3xTg1-1,shank7
31,31,3xTg1-1,shank7
32,32,3xTg1-1,shank7
33,33,3xTg1-1,shank7
34,34,3xTg1-1,shank7
35,35,3xTg1-1,shank7
36,36,3xTg1-1,shank7
37,37,3xTg1-1,shank7
38,38,3xTg1-1,shank7
39,39,3xTg1-1,shank7
40,40,3xTg1-1,shank7
41,41,3xTg1-1,shank7
42,42,3xTg1-1,shank7
43,43,3xTg1-1,shank7
44,44,3xTg1-1,shank7
45,45,3xTg1-1,shank7
46,46,3xTg1-1,shank7
47,47,3xTg1-1,shank7
48,48,3xTg1-1,shank7
49,49,3xTg1-1,shank7
50,50,3xTg1-1,shank7
51,51,3xTg1-1,shank7
52,52,3xTg1-1,shank7
53,53,3xTg1-1,shank7
54,54,3xTg1-1,shank7
55,55,3xTg1-1,shank7
56,56,3xTg1-1,shank7
57,57,3xTg1-1,shank7
58,58,3xTg1-1,shank7
59,59,3xTg1-1,shank7
60,60,3xTg1-1,shank7
61,61,3xTg1-1,shank7
62,62,3xTg1-1,shank7
63,63,3xTg1-1,shank7
64,64,3xTg1-1,shank7
1,1,3xTg1-1,shank8
2,2,3xTg1-1,shank8
3,3,3xTg1-1,shank8
4,4,3xTg1-1,shank8
5,5,3xTg1-1,shank8
6,6,3xTg1-1,shank8
7,7,3xTg1-1,shank8
8,8,3xTg1-1,shank8
9,9,3xTg1-1,shank8
10,10,3xTg1-1,shank8
11,11,3xTg1-1,shank8
12,12,3xTg1-1,shank8
13,13,3xTg1-1,shank8
14,14,3xTg1-1,shank8
15,15,3xTg1-1,shank8
16,16,3xTg1-1,shank8
17,17,3xTg1-1,shank8
18,18,3xTg1-1,shank8
19,19,3xTg1-1,shank8
20,20,3xTg1-1,shank8
21,21,3xTg1-1,shank8
22,22,3xTg1-1,shank8
23,23,3xTg1-1,shank8
24,24,3xTg1-1,shank8
25,25,3xTg1-1,shank8
26,26,3xTg1-1,shank8
27,27,3xTg1-1,shank8
28,28,3xTg1-1,shank8
29,29,3xTg1-1,shank8
30,30,3xTg1-1,shank8
31,31,3xTg1-1,shank8
32,32,3xTg1-1,shank8
33,33,3xTg1-1,shank8
34,34,3xTg1-1,shank8
35,35,3xTg1-1,shank8
36,36,3xTg1-1,shank8
37,37,3xTg1-1,shank8
38,38,3xTg1-1,shank8
39,39,3xTg1-1,shank8
40,40,3xTg1-1,shank8
41,41,3xTg1-1,shank8
42,42,3xTg1-1,shank8
43,43,3xTg1-1,shank8
44,44,3xTg1-1,shank8
45,45,3xTg1-1,shank8
46,46,3xTg1-1,shank8
47,47,3xTg1-1,shank8
48,48,3xTg1-1,shank8
49,49,3xTg1-1,shank8
50,50,3xTg1-1,shank8
51,51,3xTg1-1,shank8
52,52,3xTg1-1,shank8
53,53,3xTg1-1,shank8
54,54,3xTg1-1,shank8
55,55,3xTg1-1,shank8
56,56,3xTg1-1,shank8
57,57,3xTg1-1,shank8
58,58,3xTg1-1,shank8
59,59,3xTg1-1,shank8
60,60,3xTg1-1,shank8
61,61,3xTg1-1,shank8
62,62,3xTg1-1,shank8
63,63,3xTg1-1,shank8
64,64,3xTg1-1,shank8
1,1,3xTg75-1,shank1
2,2,3xTg75-1,shank1
3,3,3xTg75-1,shank1
4,4,3xTg75-1,shank1
5,5,3xTg75-1,shank1
6,6,3xTg75-1,shank1
7,7,3xTg75-1,shank1
8,8,3xTg75-1,shank1
9,9,3xTg75-1,shank1
10,10,3xTg75-1,shank1
11,11,3xTg75-1,shank1
12,12,3xTg75-1,shank1
13,13,3xTg75-1,shank1
14,14,3xTg75-1,shank1
15,15,3xTg75-1,shank1
16,16,3xTg75-1,shank1
17,17,3xTg75-1,shank1
18,18,3xTg75-1,shank1
19,19,3xTg75-1,shank1
20,20,3xTg75-1,shank1
21,21,3xTg75-1,shank1
22,22,3xTg75-1,shank1
23,23,3xTg75-1,shank1
24,24,3xTg75-1,shank1
25,25,3xTg75-1,shank1
26,26,3xTg75-1,shank1
27,27,3xTg75-1,shank1
28,28,3xTg75-1,shank1
29,29,3xTg75-1,shank1
30,30,3xTg75-1,shank1
31,31,3xTg75-1,shank1
32,32,3xTg75-1,shank1
33,33,3xTg75-1,shank1
34,34,3xTg75-1,shank1
35,35,3xTg75-1,shank1
36,36,3xTg75-1,shank1
37,37,3xTg75-1,shank1
38,38,3xTg75-1,shank1
39,39,3xTg75-1,shank1
40,40,3xTg75-1,shank1
41,41,3xTg75-1,shank1
42,42,3xTg75-1,shank1
43,43,3xTg75-1,shank1
44,44,3xTg75-1,shank1
45,45,3xTg75-1,shank1
46,46,3xTg75-1,shank1
47,47,3xTg75-1,shank1
48,48,3xTg75-1,shank1
49,49,3xTg75-1,shank1
50,50,3xTg75-1,shank1
51,51,3xTg75-1,shank1
52,52,3xTg75-1,shank1
53,53,3xTg75-1,shank1
54,54,3xTg75-1,shank1
55,55,3xTg75-1,shank1
56,56,3xTg75-1,shank1
57,57,3xTg75-1,shank1
58,58,3xTg75-1,shank1
59,59,3xTg75-1,shank1
60,60,3xTg75-1,shank1
61,61,3xTg75-1,shank1
62,62,3xTg75-1,shank1
63,63,3xTg75-1,shank1
64,64,3xTg75-1,shank1
1,1,3xTg75-1,shank2
